Timestamp,SystemCodeNumber,Occupancy,Price
04-10-2016 07:59,BHMBCCMKT01,61,10
04-10-2016 07:59,Broad Street,178,11.08992248
04-10-2016 07:59,BHMNCPHST01,237,11.14086957
04-10-2016 07:59,BHMMBMMBX01,264,11.6708812
04-10-2016 07:59,Shopping,614,11.04898551
04-10-2016 07:59,BHMEURBRD01,117,11.48100232
04-10-2016 07:59,BHMBCCTHL01,120,10.64196382
04-10-2016 07:59,BHMNCPNST01,249,10.52804841
04-10-2016 07:59,Others-CCCPS105a,709,11.8275643
04-10-2016 07:59,Others-CCCPS119a,195,12.12291667
04-10-2016 07:59,Others-CCCPS135a,1081,10.50465356
04-10-2016 07:59,Others-CCCPS202,547,10.64859304
04-10-2016 07:59,Others-CCCPS98,588,11.52570213
04-10-2016 07:59,Others-CCCPS8,445,11.0910917
04-10-2016 08:25,BHMBCCTHL01,129,10.87923255
04-10-2016 08:25,BHMMBMMBX01,302,11.9320524
04-10-2016 08:25,Others-CCCPS8,478,10.98468085
04-10-2016 08:25,BHMNCPNST01,267,10.54608696
04-10-2016 08:25,Others-CCCPS202,665,10.30382979
04-10-2016 08:25,Others-CCCPS135a,1467,10.89333333
04-10-2016 08:25,Others-CCCPS105a,780,11.86163028
04-10-2016 08:25,BHMNCPHST01,315,11.57895833
04-10-2016 08:25,Broad Street,269,11.30922483
04-10-2016 08:25,Others-CCCPS119a,238,11.83974116
04-10-2016 08:25,Shopping,761,10.84633607
04-10-2016 08:25,BHMBCCMKT01,64,10.54318841
04-10-2016 08:25,Others-CCCPS98,678,11.60597938
04-10-2016 08:25,BHMEURBRD01,174,11.152513
04-10-2016 08:59,Others-CCCPS135a,2007,10.90797412
04-10-2016 08:59,Others-CCCPS8,518,11.06637681
04-10-2016 08:59,BHMBCCTHL01,155,11.15399701
04-10-2016 08:59,Others-CCCPS119a,323,11.9876745
04-10-2016 08:59,Shopping,958,10.93664283
04-10-2016 08:59,Broad Street,415,10.73998288
04-10-2016 08:59,BHMNCPNST01,278,10.59264629
04-10-2016 08:59,BHMEURBRD01,269,11.27878261
04-10-2016 08:59,BHMBCCMKT01,80,10.483
04-10-2016 08:59,BHMNCPHST01,441,10.894625
04-10-2016 08:59,Others-CCCPS98,792,11.14211438
04-10-2016 08:59,Others-CCCPS202,848,10.97371179
04-10-2016 08:59,Others-CCCPS105a,864,11.5473385
04-10-2016 08:59,BHMMBMMBX01,346,11.70881444
04-10-2016 09:32,BHMEURBRD01,351,11.738125
04-10-2016 09:32,BHMBCCTHL01,204,10.78866667
04-10-2016 09:32,Others-CCCPS202,1036,10.82973896
04-10-2016 09:32,Others-CCCPS8,590,11.0930711
04-10-2016 09:32,Broad Street,530,11.19213974
04-10-2016 09:32,Others-CCCPS98,932,11.55833333
04-10-2016 09:32,Others-CCCPS119a,420,11.62762887
04-10-2016 09:32,Others-CCCPS105a,1004,11.53719588
04-10-2016 09:32,BHMBCCMKT01,107,10.59371179
04-10-2016 09:32,Shopping,1121,11.03133333
04-10-2016 09:32,Others-CCCPS135a,2502,10.7573457
04-10-2016 09:32,BHMMBMMBX01,414,11.15977123
04-10-2016 09:32,BHMNCPHST01,552,10.86263534
04-10-2016 09:32,BHMNCPNST01,302,10.50142322
04-10-2016 09:59,Others-CCCPS119a,476,11.315
04-10-2016 09:59,BHMNCPHST01,638,10.75812405
04-10-2016 09:59,Shopping,1254,11.29228472
04-10-2016 09:59,Others-CCCPS8,657,10.52457539
04-10-2016 09:59,BHMEURBRD01,397,11.27317031
04-10-2016 09:59,Others-CCCPS98,1052,11.49629167
04-10-2016 09:59,BHMBCCTHL01,236,10.87467249
04-10-2016 09:59,Others-CCCPS105a,1142,11.57163753
04-10-2016 09:59,Broad Street,600,10.71276596
04-10-2016 09:59,BHMNCPNST01,327,10.23466205
04-10-2016 09:59,BHMBCCMKT01,150,10.50791667
04-10-2016 09:59,Others-CCCPS135a,2802,10.77281654
04-10-2016 09:59,BHMMBMMBX01,485,11.475625
04-10-2016 09:59,Others-CCCPS202,1163,10.78828328
04-10-2016 10:26,Others-CCCPS105a,1245,12.57770796
04-10-2016 10:26,Others-CCCPS8,715,10.74664288
04-10-2016 10:26,BHMEURBRD01,430,11.60217054
04-10-2016 10:26,Others-CCCPS98,1142,11.08719229
